CaratSize,Clarity,Price
0.3,3 VVS,1000
0.44,2 VS,1000
0.31,3 VVS,1000
0.66,1 SI,1000
0.47,2 VS,1000
0.4,2 VS,1000
0.36,2 VS,1000
0.52,1 SI,1000
0.53,1 SI,1001
0.43,2 VS,1001
0.43,2 VS,1001
0.43,2 VS,1001
0.3,3 VVS,1001
0.47,2 VS,1001
0.41,2 VS,1001
0.44,1 SI,1001
0.36,3 VVS,1001
0.4,2 VS,1001
0.4,2 VS,1001
0.32,4 F,1002
0.5,1 SI,1002
0.5,1 SI,1002
0.36,2 VS,1002
0.44,2 VS,1002
0.31,3 VVS,1002
0.45,2 VS,1017
0.51,1 SI,1017
0.3,3 VVS,1017
0.51,1 SI,1017
0.41,2 VS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.31,3 VVS,1018
0.4,3 VVS,1018
0.31,4 F,1018
0.31,4 F,1018
0.42,3 VVS,1019
0.33,3 VVS,1019
0.37,3 VVS,1019
0.45,3 VVS,1019
0.4,2 VS,1019
0.4,2 VS,1019
0.32,3 VVS,1019
0.32,3 VVS,1019
0.37,3 VVS,1019
0.33,3 VVS,1036
0.33,3 VVS,1036
0.37,3 VVS,1037
0.37,3 VVS,1037
0.43,2 VS,1037
0.43,2 VS,1037
0.43,2 VS,1037
0.43,2 VS,1037
0.43,2 VS,1037
0.34,3 VVS,1037
0.37,3 VVS,1037
0.37,3 VVS,1037
0.5,1 SI,1037
0.33,3 VVS,1037
0.57,2 VS,1037
0.4,3 VVS,1037
0.4,3 VVS,1037
0.4,3 VVS,1037
0.4,3 VVS,1037
0.44,2 VS,1037
0.31,3 VVS,1037
0.31,3 VVS,1037
0.31,3 VVS,1037
0.4,2 VS,1037
0.4,2 VS,1037
0.32,3 VVS,1053
0.32,3 VVS,1053
0.4,3 VVS,1053
0.48,2 VS,1053
0.33,3 VVS,1053
0.38,2 VS,1054
0.32,4 F,1054
0.31,4 F,1054
0.53,1 SI,1054
0.42,2 VS,1054
0.42,2 VS,1054
0.34,4 F,1054
0.36,3 VVS,1054
0.51,2 VS,1054
0.34,3 VVS,1054
0.33,3 VVS,1054
0.33,3 VVS,1055
0.4,2 VS,1055
0.4,2 VS,1055
0.4,2 VS,1055
0.41,2 VS,1055
0.41,2 VS,1055
0.37,2 VS,1055
0.4,4 F,1055
0.37,3 VVS,1055
0.38,2 VS,1076
0.45,2 VS,1076
0.5,1 SI,1076
0.5,1 SI,1076
0.5,1 SI,1076
0.42,2 VS,1076
0.42,2 VS,1076
0.5,1 SI,1076
0.5,1 SI,1076
0.62,2 VS,1076
0.5,2 VS,1076
0.39,3 VVS,1076
0.39,3 VVS,1076
0.37,3 VVS,1077
0.37,2 VS,1077
0.37,2 VS,1077
0.54,1 SI,1077
0.46,2 VS,1077
0.57,2 VS,1077
0.36,3 VVS,1077
0.38,2 VS,1078
0.34,4 F,1078
0.31,3 VVS,1078
0.52,1 SI,1078
0.5,2 VS,1078
0.44,3 VVS,1099
0.35,4 F,1099
0.35,3 VVS,1099
0.55,1 SI,1099
0.32,4 F,1100
0.32,4 F,1100
0.33,3 VVS,1100
0.46,2 VS,1100
0.42,3 VVS,1100
0.44,2 VS,1100
0.5,1 SI,1101
0.4,3 VVS,1101
0.39,4 F,1101
0.62,2 VS,1101
0.3,4 F,1101
0.43,2 VS,1102
0.4,2 VS,1102
0.4,2 VS,1102
0.4,2 VS,1102
0.64,1 SI,1102
0.4,2 VS,1102
0.4,2 VS,1102
0.4,2 VS,1102
0.4,2 VS,1102
0.4,2 VS,1102
0.57,1 SI,1129
0.57,1 SI,1129
0.57,1 SI,1129
0.36,3 VVS,1129
0.4,2 VS,1129
0.34,4 F,1129
0.54,1 SI,1129
0.51,1 SI,1129
0.45,2 VS,1129
0.34,4 F,1129
0.34,3 VVS,1129
0.4,3 VVS,1130
0.4,3 VVS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,3 VVS,1130
0.41,2 VS,1130
0.41,2 VS,1130
0.41,3 VVS,1154
0.38,4 F,1154
0.38,4 F,1154
0.41,3 VVS,1154
0.41,3 VVS,1154
0.41,4 F,1154
0.41,3 VVS,1154
0.41,3 VVS,1154
0.41,3 VVS,1154
0.32,4 F,1155
0.32,4 F,1155
0.42,2 VS,1155
0.54,1 SI,1155
0.54,2 VS,1155
0.61,2 VS,1155
0.41,2 VS,1155
0.5,1 SI,1156
0.5,1 SI,1156
0.5,1 SI,1156
0.51,1 SI,1156
0.35,4 F,1156
0.45,3 VVS,1156
0.4,3 VVS,1156
0.4,3 VVS,1156
0.4,3 VVS,1156
0.4,3 VVS,1171
0.3,4 F,1171
0.3,4 F,1171
0.3,4 F,1171
0.5,2 VS,1171
0.51,1 SI,1172
0.51,2 VS,1172
0.51,1 SI,1172
0.51,1 SI,1172
0.51,2 VS,1172
0.52,1 SI,1172
0.45,3 VVS,1172
0.52,1 SI,1172
0.47,3 VVS,1172
0.47,2 VS,1172
0.4,2 VS,1173
0.37,4 F,1173
0.53,1 SI,1173
0.33,4 F,1173
0.51,1 SI,1173
0.38,4 F,1173
0.47,3 VVS,1174
0.35,4 F,1174
0.35,4 F,1174
0.44,3 VVS,1174
0.31,4 F,1193
0.6,2 VS,1193
0.42,3 VVS,1193
0.42,3 VVS,1193
0.42,3 VVS,1193
0.42,3 VVS,1193
0.42,3 VVS,1193
0.5,2 VS,1194
0.53,2 VS,1194
0.5,1 SI,1194
0.44,3 VVS,1194
0.53,1 SI,1194
0.5,2 VS,1194
0.4,2 VS,1194
0.43,2 VS,1194
0.42,2 VS,1194
0.52,1 SI,1194
0.35,3 VVS,1195
0.35,3 VVS,1195
0.51,2 VS,1195
0.51,2 VS,1195
0.51,1 SI,1195
0.51,1 SI,1195
0.55,2 VS,1195
0.41,3 VVS,1195
0.33,4 F,1215
0.56,1 SI,1215
0.6,1 SI,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,4 F,1215
0.4,3 VVS,1215
0.52,1 SI,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.65,2 VS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.4,3 VVS,1215
0.43,2 VS,1215
0.44,2 VS,1216
0.41,4 F,1216
0.4,2 VS,1216
0.4,3 VVS,1216
0.4,3 VVS,1216
0.42,3 VVS,1237
0.38,3 VVS,1237
0.62,2 VS,1237
0.38,3 VVS,1237
0.42,2 VS,1238
0.54,1 SI,1238
0.4,3 VVS,1238
0.4,3 VVS,1239
0.4,3 VVS,1239
0.4,3 VVS,1239
0.47,2 VS,1239
0.44,3 VVS,1239
0.56,1 SI,1239
0.4,3 VVS,1239
0.61,1 SI,1239
0.41,3 VVS,1239
0.54,1 SI,1239
0.5,3 VVS,1239
0.6,2 VS,1239
0.57,1 SI,1240
0.58,1 SI,1240
0.49,2 VS,1240
0.43,3 VVS,1240
0.61,2 VS,1240
0.5,1 SI,1240
0.41,3 VVS,1269
0.4,3 VVS,1269
0.45,3 VVS,1270
0.45,3 VVS,1270
0.45,3 VVS,1270
0.45,3 VVS,1270
0.33,4 F,1270
0.38,3 VVS,1270
0.38,3 VVS,1270
0.37,3 VVS,1270
0.46,2 VS,1270
0.39,3 VVS,1270
0.71,2 VS,1271
0.52,1 SI,1271
0.58,1 SI,1271
0.58,1 SI,1271
0.53,1 SI,1272
0.35,4 F,1272
0.37,4 F,1272
0.41,3 VVS,1272
0.51,2 VS,1273
0.51,2 VS,1273
0.39,3 VVS,1273
0.47,3 VVS,1273
0.56,1 SI,1273
0.51,2 VS,1302
0.6,2 VS,1302
0.72,2 VS,1303
0.52,1 SI,1303
0.5,1 SI,1303
0.41,4 F,1303
0.5,1 SI,1303
0.42,3 VVS,1303
0.39,4 F,1304
0.61,1 SI,1304
0.61,1 SI,1304
0.58,1 SI,1304
0.43,4 F,1304
0.43,3 VVS,1304
0.43,3 VVS,1304
0.43,3 VVS,1304
0.5,2 VS,1304
0.4,3 VVS,1304
0.4,4 F,1304
0.4,4 F,1304
0.4,3 VVS,1304
0.4,3 VVS,1304
0.4,3 VVS,1304
0.4,3 VVS,1304
0.5,1 SI,1305
0.4,3 VVS,1334
0.4,3 VVS,1334
0.4,3 VVS,1334
0.5,2 VS,1334
0.7,1 SI,1334
0.47,2 VS,1334
0.44,3 VVS,1334
0.5,4 F,1334
0.39,4 F,1335
0.49,2 VS,1335
0.53,1 SI,1335
0.6,3 VVS,1335
0.6,2 VS,1335
0.47,2 VS,1336
0.54,1 SI,1336
0.7,2 VS,1336
0.54,1 SI,1336
0.43,3 VVS,1336
0.43,3 VVS,1336
0.71,2 VS,1336
0.64,1 SI,1336
0.56,1 SI,1336
0.56,1 SI,1336
0.56,1 SI,1336
