Name,Salary,log Salary,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,League,Division,PutOuts,Assists,Errors,NewLeague
Andy Allanson,,,293,66,1,30,29,14,1,A,E,446,33,20,A
Alan Ashby,475,6.163314804,315,81,7,24,38,39,14,N,W,632,43,10,N
Alvin Davis,480,6.173786104,479,130,18,66,72,76,3,A,W,880,82,14,A
Andre Dawson,500,6.214608098,496,141,20,65,78,37,11,N,E,200,11,3,N
Andres Galarraga,91.5,4.516338972,321,87,10,39,42,30,2,N,E,805,40,4,N
Alfredo Griffin,750,6.620073207,594,169,4,74,51,35,11,A,W,282,421,25,A
Al Newman,70,4.248495242,185,37,1,23,8,21,2,N,E,76,127,7,A
Argenis Salazar,100,4.605170186,298,73,0,24,24,7,3,A,W,121,283,9,A
Andres Thomas,75,4.317488114,323,81,6,26,32,8,2,N,W,143,290,19,N
Andre Thornton,1100,7.003065459,401,92,17,49,66,65,13,A,E,0,0,0,A
Alan Trammell,517.143,6.248319432,574,159,21,107,75,59,10,A,E,238,445,22,A
Alex Trevino,512.5,6.239300711,202,53,4,31,26,27,9,N,W,304,45,11,N
Andy VanSlyke,550,6.309918278,418,113,13,48,61,47,4,N,E,211,11,7,N
Alan Wiggins,700,6.551080335,239,60,0,30,11,22,6,A,E,121,151,6,A
Bill Almon,240,5.480638923,196,43,7,29,27,30,13,N,E,80,45,8,N
Billy Beane,,,183,39,3,20,15,11,3,A,W,118,0,0,A
Buddy Bell,775,6.652863029,568,158,20,89,75,73,15,N,W,105,290,10,N
Buddy Biancalana,175,5.164785974,190,46,2,24,8,15,5,A,W,102,177,16,A
Bruce Bochte,,,407,104,6,57,43,65,12,A,W,912,88,9,A
Bruce Bochy,135,4.905274778,127,32,8,16,22,14,8,N,W,202,22,2,N
Barry Bonds,100,4.605170186,413,92,16,72,48,65,1,N,E,280,9,5,N
Bobby Bonilla,115,4.744932128,426,109,3,55,43,62,1,A,W,361,22,2,N
Bob Boone,,,22,10,1,4,2,1,6,A,W,812,84,11,A
Bob Brenly,600,6.396929655,472,116,16,60,62,74,6,N,W,518,55,3,N
Bill Buckner,776.667,6.655011687,629,168,18,73,102,40,18,A,E,1067,157,14,A
Brett Butler,765,6.639875834,587,163,4,92,51,70,6,A,E,434,9,3,A
Bob Dernier,708.333,6.562914322,324,73,4,32,18,22,7,N,E,222,3,3,N
Bo Diaz,750,6.620073207,474,129,10,50,56,40,10,N,W,732,83,13,N
Bill Doran,625,6.43775165,550,152,6,92,37,81,5,N,W,262,329,16,N
Brian Downing,900,6.802394763,513,137,20,90,95,90,14,A,W,267,5,3,A
Bobby Grich,,,313,84,9,42,30,39,17,A,W,127,221,7,A
Billy Hatcher,110,4.700480366,419,108,6,55,36,22,3,N,W,226,7,4,N
Bob Horner,,,517,141,27,70,87,52,9,N,W,1378,102,8,N
Brook Jacoby,612.5,6.417548942,583,168,17,83,80,56,5,A,E,109,292,25,A
Bob Kearney,300,5.703782475,204,49,6,23,25,12,7,A,W,419,46,5,A
Bill Madlock,850,6.74523635,379,106,10,38,60,30,14,N,W,72,170,24,N
Bobby Meacham,,,161,36,0,19,10,17,4,A,E,70,149,12,A
Bob Melvin,90,4.49980967,268,60,5,24,25,15,2,N,W,442,59,6,N
Ben Oglivie,,,346,98,5,31,53,30,16,A,E,0,0,0,A
Bip Roberts,,,241,61,1,34,12,14,1,N,W,166,172,10,N
BillyJo Robidoux,67.5,4.212127598,181,41,1,15,21,33,2,A,E,326,29,5,A
Bill Russell,,,216,54,0,21,18,15,18,N,W,103,84,5,N
Billy SAMPLE,,,200,57,6,23,14,14,9,N,W,69,1,1,N
Bill Schroeder,180,5.192956851,217,46,7,32,19,9,4,A,E,307,25,1,A
Butch Wynegar,,,194,40,7,19,29,30,11,A,E,325,22,2,A
Chris Bando,305,5.720311777,254,68,2,28,26,22,6,A,E,359,30,4,A
Chris Brown,215,5.370638028,416,132,7,57,49,33,3,N,W,73,177,18,N
Carmen Castillo,247.5,5.511410582,205,57,8,34,32,9,5,A,E,58,4,4,A
Cecil Cooper,,,542,140,12,46,75,41,16,A,E,697,61,9,A
Chili Davis,815,6.703188113,526,146,13,71,70,84,6,N,W,303,9,9,N
Carlton Fisk,875,6.774223886,457,101,14,42,63,22,17,A,W,389,39,4,A
Curt Ford,70,4.248495242,214,53,2,30,29,23,2,N,E,109,7,3,N
